canton,population,year
gr,195886.0,2015
ag,645277.0,2015
tg,263733.0,2015
ti,350363.0,2015
vd,761446.0,2015
vs,331763.0,2015
ne,177327.0,2015
ge,477385.0,2015
zh,1466424.0,2016
be,1017483.0,2016
lu,398762.0,2016
ur,35973.0,2016
sz,154093.0,2016
ow,37076.0,2016
nw,42420.0,2016
gl,40028.0,2016
zg,122134.0,2016
fr,307461.0,2016
so,266418.0,2016
bl,191817.0,2016
bs,283231.0,2016
sa,79836.0,2016
ar,54543.0,2016
ai,15974.0,2016
sg,499065.0,2016
gr,196610.0,2016
ag,653675.0,2016
tg,267429.0,2016
ti,351946.0,2016
vd,773407.0,2016
vs,335696.0,2016
ne,178107.0,2016
ge,484736.0,2016
zh,1487969.0,2017
be,1026513.0,2017
lu,403397.0,2017
ur,36145.0,2017
sz,155863.0,2017
ow,37378.0,2017
nw,42556.0,2017
gl,40147.0,2017
zg,123948.0,2017
fr,311914.0,2017
so,269441.0,2017
bl,193070.0,2017
bs,285624.0,2017
sa,80769.0,2017
ar,54954.0,2017
ai,16003.0,2017
sg,502552.0,2017
gr,197550.0,2017
ag,663462.0,2017
tg,270709.0,2017
ti,354375.0,2017
vd,784822.0,2017
vs,339176.0,2017
ne,178567.0,2017
ge,489524.0,2017
zh,1504346.0,2018
be,1031126.0,2018
lu,406506.0,2018
ur,36299.0,2018
sz,157301.0,2018
ow,37575.0,2018
nw,42969.0,2018
gl,40349.0,2018
zg,125421.0,2018
fr,315074.0,2018
so,271432.0,2018
bl,193908.0,2018
bs,287023.0,2018
sa,81351.0,2018
ar,55178.0,2018
ai,16105.0,2018
sg,504686.0,2018
gr,197888.0,2018
ag,670988.0,2018
tg,273801.0,2018
ti,353709.0,2018
vd,793129.0,2018
vs,341463.0,2018
ne,177964.0,2018
ge,495249.0,2018
